CDU/CSU,SPD,AfD,B90,FDP,LINKE,Sonstige,BSW
332,178,179,130,48,47,52,34
323,168,198,147,44,30,61,29
300,181,205,151,38,37,64,24
315,175,184,163,31,40,45,47
321,153,196,140,39,44,65,42
343,168,164,135,43,42,69,36
330,161,196,158,38,33,48,36
332,187,172,123,37,38,60,51
310,182,187,139,38,44,56,44
319,194,181,133,36,44,62,31
325,197,164,144,40,32,63,35
308,169,177,157,43,34,66,46
329,179,195,119,49,43,53,33
332,162,197,139,31,39,62,38
329,175,182,142,44,38,61,29
320,206,186,137,26,27,57,41
347,172,172,140,34,43,50,42
355,165,182,139,40,23,57,39
317,183,189,128,48,43,51,41
336,160,176,163,37,41,54,33
337,172,170,137,41,37,55,51
347,196,160,127,44,34,57,35
329,181,176,141,52,42,44,35
334,174,181,152,45,35,56,23
345,164,171,141,41,44,52,42
323,183,180,141,45,28,66,34
337,168,172,133,51,39,61,39
308,170,187,131,48,39,77,40
347,185,153,131,57,35,48,44
315,195,179,143,39,36,48,45
334,184,194,128,31,36,53,40
326,163,186,150,41,48,44,42
354,150,173,130,53,36,62,42
320,167,189,161,42,34,53,34
344,179,156,153,38,36,64,30
355,171,183,129,36,30,59,37
325,189,170,138,41,32,66,39
296,186,174,158,47,46,57,36
345,155,176,164,44,35,48,33
358,168,169,121,45,24,75,40
318,179,179,139,44,40,58,43
303,200,171,154,47,42,43,40
345,171,183,122,35,47,60,37
354,165,169,141,37,36,59,39
324,189,169,146,44,38,55,35
366,156,185,130,33,36,55,39
348,185,161,129,41,50,50,36
333,184,160,156,45,39,47,36
314,175,176,157,41,41,58,38
311,192,177,135,51,42,50,42
303,189,200,134,38,38,58,40
317,183,170,159,47,29,59,36
361,166,166,134,40,38,53,42
303,201,203,131,43,27,54,38
326,177,180,133,43,44,61,36
352,152,194,137,42,42,49,32
335,185,175,129,44,45,48,39
332,189,173,139,36,43,55,33
344,170,184,138,37,36,54,37
334,154,174,144,34,46,63,51
333,181,157,147,40,38,64,40
334,173,177,153,37,42,60,24
334,185,162,135,47,35,66,36
346,169,183,140,32,40,52,38
327,180,155,150,37,45,72,34
314,167,192,131,46,38,69,43
332,207,158,135,31,37,63,37
341,172,176,132,48,44,52,35
313,184,177,144,48,42,53,39
325,179,173,130,30,46,76,41
330,157,177,155,44,40,58,39
339,169,175,140,45,44,61,27
316,187,169,147,33,47,61,40
356,164,158,151,49,31,48,43
341,178,173,140,43,42,52,31
322,188,190,151,37,31,49,32
311,187,179,147,47,33,56,40
337,169,170,136,34,33,73,48
318,188,183,146,43,23,64,35
301,174,190,146,48,40,56,45
302,170,207,125,54,34,65,43
343,165,156,148,40,32,69,47
326,174,184,134,40,39,63,40
329,189,176,131,39,38,50,48
304,202,167,153,47,38,49,40
329,156,203,129,37,45,59,42
322,204,167,139,43,40,54,31
333,194,169,142,40,50,36,36
332,168,190,136,42,38,63,31
315,183,179,141,52,34,55,41
332,174,191,132,39,44,52,36
353,174,154,143,40,40,52,44
314,195,168,148,45,39,46,45
337,168,193,136,42,40,48,36
332,168,173,134,43,49,61,40
305,183,193,140,35,42,60,42
347,171,179,143,39,40,46,35
366,187,159,135,26,44,52,31
297,211,196,138,37,36,48,37
338,161,155,162,38,46,60,40
309,172,178,166,33,40,55,47
318,176,189,150,47,28,54,38
345,167,164,144,43,39,56,42
332,157,187,132,36,45,66,45
337,172,190,136,38,34,53,40
363,155,168,138,50,38,49,39
334,169,159,157,41,31,67,42
345,169,160,150,40,43,53,40
326,175,186,158,35,24,44,52
308,205,176,135,44,32,59,41
338,164,186,129,39,38,64,42
344,167,156,145,33,41,60,54
350,168,175,150,39,34,51,33
341,186,175,128,43,35,49,43
316,180,188,135,42,40,62,37
355,166,167,148,38,37,47,42
345,168,153,139,54,27,71,43
317,175,195,145,45,30,66,27
311,176,174,143,37,45,67,47
316,199,179,135,43,37,54,37
325,180,171,152,43,35,51,43
339,180,167,147,40,32,59,36
301,182,185,145,48,38,67,34
334,188,185,139,36,29,47,42
327,193,193,133,35,42,48,29
327,210,176,135,43,30,54,25
322,193,181,149,33,32,43,47
315,184,159,157,52,45,54,34
314,191,191,123,31,38,63,49
345,175,171,140,38,38,60,33
342,181,155,140,34,45,65,38
331,203,154,139,38,36,59,40
326,169,202,133,44,29,54,43
349,176,163,132,44,37,51,48
345,186,160,132,57,35,44,41
343,165,168,147,35,40,56,46
319,199,200,137,42,31,47,25
308,197,171,151,44,37,57,35
340,158,179,134,41,48,62,38
330,176,190,131,33,36,63,41
356,153,194,129,39,31,68,30
362,166,162,147,46,22,65,30
341,185,176,115,51,38,50,44
353,159,180,135,38,34,56,45
310,188,175,144,40,48,68,27
323,170,163,162,42,44,49,47
327,185,181,134,35,48,57,33
311,208,184,125,45,30,52,45
305,193,183,152,41,33,63,30
324,179,168,145,41,46,63,34
345,169,162,161,45,38,44,36
316,175,197,132,46,35,52,47
326,176,180,144,38,38,61,37
335,172,165,139,47,45,65,32
307,181,173,154,48,39,57,41
313,188,179,135,50,41,58,36
339,179,158,150,47,34,62,31
326,169,177,147,32,36,67,46
346,183,157,138,37,42,62,35
323,189,177,147,43,39,43,39
296,192,192,142,39,43,56,40
330,175,178,140,37,42,63,35
341,176,165,142,46,38,53,39
309,169,183,144,43,54,56,42
364,180,170,138,27,34,53,34
308,183,190,140,34,36,68,41
303,164,210,147,38,40,57,41
339,172,178,150,38,27,62,34
321,187,163,152,44,38,58,37
360,156,169,137,36,31,66,45
340,192,155,135,34,34,73,37
346,154,200,131,42,46,40,41
326,203,163,139,44,36,51,38
323,192,169,145,32,43,64,32
368,176,167,127,32,30,56,44
323,187,193,139,36,26,48,48
318,188,167,166,36,38,52,35
342,166,177,136,34,52,63,30
330,180,167,140,56,37,55,35
329,185,168,132,39,44,58,45
321,172,171,158,51,44,46,37
326,174,173,145,44,45,49,44
347,168,178,144,29,39,53,42
343,171,185,122,39,44,57,39
333,172,192,151,31,32,51,38
330,178,173,142,37,46,52,42
336,195,167,134,29,41,61,37
336,159,189,130,35,42,62,47
340,178,166,135,36,45,56,44
350,160,168,138,46,39,59,40
322,184,177,134,46,46,58,33
292,202,189,140,42,52,49,34
324,186,178,157,43,27,53,32
323,173,168,143,42,37,64,50
320,195,186,132,43,38,42,44
314,176,193,137,41,37,63,39
315,181,175,128,46,39,74,42
341,186,158,135,41,41,61,37
340,173,191,121,32,46,62,35
326,179,185,142,53,31,45,39
360,142,183,136,40,41,63,35
355,167,157,138,47,46,58,32
309,174,177,146,38,49,69,38
321,171,206,138,36,37,52,39
326,169,192,149,38,36,58,32
308,193,190,133,35,42,59,40
348,174,186,143,25,32,49,43
339,176,175,133,41,32,60,44
335,178,163,145,43,34,67,35
311,178,196,154,42,25,60,34
342,155,180,137,48,35,60,43
356,157,177,135,38,45,53,39
306,194,183,140,42,35,59,41
313,192,179,138,44,37,67,30
340,202,171,136,30,33,48,40
304,187,181,142,47,32,60,47
316,162,216,139,35,41,51,40
323,184,169,152,41,37,54,40
312,191,190,131,48,33,54,41
346,169,200,136,35,38,54,22
330,166,178,140,41,51,52,42
342,169,181,131,40,34,69,34
329,184,167,149,43,31,59,38
331,184,180,123,47,34,60,41
319,173,185,144,38,36,57,48
316,197,174,148,41,32,48,44
344,191,150,144,33,42,57,39
339,164,174,145,47,27,61,43
312,191,197,129,36,37,62,36
323,178,186,141,45,31,64,32
330,178,172,146,52,33,56,33
349,160,159,158,31,45,52,46
343,164,170,153,38,31,53,48
333,173,192,135,38,35,60,34
316,157,197,148,38,39,56,49
326,197,179,132,40,36,58,32
331,171,180,142,41,39,62,34
314,190,180,135,48,41,51,41
319,181,185,129,44,51,49,42
314,171,177,159,37,43,57,42
311,179,167,159,46,42,63,33
325,164,193,147,43,34,57,37
309,183,172,144,42,41,70,39
322,199,173,139,37,36,53,41
310,181,174,152,46,45,53,39
301,195,175,143,39,35,70,42
361,172,164,126,39,41,64,33
305,175,197,147,47,43,59,27
325,184,159,139,48,47,62,36
342,192,168,146,27,33,55,37
362,168,182,131,37,34,48,38
332,166,177,143,37,38,61,46
340,171,166,152,39,41,58,33
313,170,193,139,46,47,59,33
355,180,157,148,30,36,59,35
309,185,187,136,32,45,60,46
344,152,177,159,37,40,53,38
323,169,172,144,43,43,62,44
311,184,186,155,43,37,46,38
316,190,187,147,45,30,53,32
316,199,182,138,39,43,55,28
312,185,180,151,39,38,51,44
333,165,175,161,33,40,59,34
308,168,196,156,45,22,63,42
330,184,181,137,37,39,59,33
350,177,171,149,38,36,50,29
332,184,170,136,37,49,55,37
335,169,177,142,36,42,54,45
326,193,167,142,42,40,56,34
306,161,191,152,45,38,58,49
310,170,192,152,44,35,65,32
335,174,166,150,40,34,51,50
346,165,169,138,41,53,51,37
328,157,169,163,37,38,71,37
320,181,180,153,34,46,51,35
345,164,185,131,46,39,58,32
296,182,210,140,43,35,60,34
300,203,194,136,42,35,50,40
342,184,182,126,41,35,51,39
351,208,157,122,34,36,53,39
308,188,193,135,33,36,64,43
345,163,170,156,44,38,53,31
324,179,177,148,42,40,55,35
324,197,168,143,34,41,60,33
347,171,156,150,37,42,58,39
346,187,177,128,35,36,55,36
322,177,181,150,43,30,60,37
333,179,179,135,41,41,47,45
334,174,190,137,38,35,52,40
350,171,175,140,34,39,54,37
296,211,173,145,36,39,66,34
321,180,165,157,49,30,57,41
354,169,168,140,36,37,60,36
329,189,170,145,46,33,53,35
317,193,192,135,42,40,49,32
322,204,179,133,36,30,56,40
336,175,191,117,38,37,66,40
318,173,185,141,48,37,58,40
332,189,163,151,44,34,48,39
331,181,170,150,37,32,65,34
322,186,190,132,38,40,58,34
358,158,142,141,48,42,72,39
304,183,191,133,39,46,56,48
348,164,176,143,43,34,53,39
305,173,186,157,41,35,62,41
336,170,172,155,29,31,72,35
344,170,181,123,44,36,62,40
313,198,173,160,39,42,53,22
331,186,180,145,43,27,45,43
303,184,191,152,32,42,55,41
335,177,178,150,36,34,54,36
353,181,156,153,31,34,50,42
333,172,173,149,38,30,57,48
336,185,167,141,38,35,60,38
337,177,178,150,38,32,58,30
309,166,188,167,40,36,65,29
351,156,157,144,39,39,68,46
344,163,177,149,40,46,42,39
326,197,167,137,39,42,59,33
331,186,176,151,42,32,47,35
323,197,184,124,34,42,55,41
333,177,190,136,38,38,50,38
336,169,178,135,50,37,51,44
303,176,196,140,44,32,71,38
304,197,187,148,42,34,62,26
340,186,158,137,42,47,49,41
325,179,185,139,36,44,61,31
325,185,174,143,51,36,54,32
334,187,161,136,35,38,66,43
314,172,186,151,45,38,61,33
335,180,174,141,38,35,57,40
324,187,179,137,37,47,51,38
308,190,176,150,39,48,52,37
306,205,169,125,37,43,63,52
341,169,174,157,44,27,51,37
338,188,177,139,40,24,64,30
336,190,159,144,38,47,49,37
322,164,197,149,47,37,52,32
306,164,206,158,40,33,49,44
321,191,184,137,49,37,54,27
306,175,180,158,49,37,52,43
337,180,195,119,43,43,50,33
359,157,160,144,38,40,63,39
344,183,170,135,39,28,65,36
337,175,183,144,29,32,63,37
326,190,174,146,39,37,48,40
308,189,176,148,38,43,66,32
318,165,177,151,54,38,52,45
289,183,188,142,48,44,59,47
314,185,176,149,46,32,55,43
349,157,185,147,35,45,47,35
327,190,172,144,34,38,64,31
318,182,171,153,56,33,51,36
334,175,159,144,45,36,63,44
313,177,192,142,46,36,59,35
309,198,181,140,46,24,64,38
351,169,200,138,34,40,38,30
310,182,187,153,35,39,51,43
324,182,183,133,34,40,66,38
327,173,169,142,44,49,57,39
338,187,164,145,38,38,48,42
336,174,183,126,43,42,60,36
322,169,176,136,41,52,61,43
316,192,174,135,43,44,63,33
327,190,163,145,39,31,70,35
329,182,170,151,42,27,53,46
331,189,179,133,43,33,56,36
353,168,192,122,48,32,41,44
329,175,177,140,40,52,50,37
282,177,207,144,50,36,65,39
331,192,170,140,36,40,56,35
348,184,162,126,44,40,54,42
359,152,173,153,45,27,54,37
351,195,163,122,45,35,47,42
334,209,190,121,34,37,40,35
336,176,194,138,37,32,55,32
328,174,186,154,37,34,60,27
331,172,174,156,40,33,53,41
319,195,196,136,39,24,57,34
311,204,160,137,38,47,75,28
343,185,173,133,40,44,55,27
318,203,160,153,41,35,55,35
323,191,172,143,40,44,56,31
341,193,164,144,31,33,56,38
333,173,178,152,42,38,49,35
329,185,189,122,42,36,69,28
337,170,153,161,32,53,53,41
318,171,196,145,35,35,75,25
357,150,175,137,47,30,54,50
346,178,177,149,34,39,42,35
338,183,188,141,38,21,51,40
308,189,190,146,46,30,55,36
336,160,178,150,46,34,54,42
320,183,173,139,43,49,59,34
320,181,191,143,35,40,53,37
323,184,178,149,41,36,55,34
322,181,182,126,48,32,56,53
316,221,160,143,28,36,54,42
342,182,164,141,40,29,59,43
318,177,179,149,32,43,64,38
328,194,167,147,39,29,57,39
313,172,191,131,50,47,53,43
334,185,162,126,42,47,65,39
332,170,179,143,36,50,45,45
319,197,165,150,43,39,46,41
315,185,189,145,48,36,51,31
332,170,179,151,35,35,52,46
340,186,157,145,45,28,53,46
346,169,184,130,40,39,55,37
344,190,165,134,57,31,48,31
291,187,189,153,49,43,57,31
321,195,172,149,43,31,46,43
340,167,195,130,39,33,61,35
302,161,203,148,48,36,60,42
343,174,173,131,39,40,66,34
310,185,185,131,35,35,67,52
313,180,185,134,45,51,53,39
330,177,190,137,45,36,48,37
338,179,172,147,35,36,49,44
314,216,172,129,36,31,60,42
320,202,190,138,41,26,51,32
305,186,176,135,52,38,67,41
317,166,183,150,44,29,59,52
330,191,159,151,43,33,49,44
326,162,190,153,35,35,61,38
332,171,169,152,47,29,59,41
331,195,162,137,36,29,67,43
317,181,187,136,42,34,56,47
326,177,183,125,43,47,66,33
324,202,177,133,41,29,54,40
325,192,157,144,43,31,67,41
323,191,171,144,41,31,65,34
353,176,162,126,46,40,66,31
327,165,173,136,48,29,77,45
353,176,167,130,32,43,62,37
321,186,179,148,39,37,46,44
353,192,158,137,41,35,48,36
335,169,178,146,45,40,57,30
299,194,204,136,38,21,73,35
310,192,196,129,34,39,63,37
339,169,168,138,46,36,56,48
317,185,185,141,38,38,49,47
326,194,176,138,48,37,47,34
308,180,166,152,32,46,73,43
313,208,183,131,37,35,52,41
321,166,198,130,44,35,68,38
347,176,165,135,38,39,64,36
324,183,168,144,42,37,61,41
349,173,179,132,38,33,51,45
334,189,175,131,36,39,70,26
349,179,172,126,41,37,62,34
327,181,168,138,41,43,64,38
326,171,180,149,33,35,63,43
354,176,152,146,31,45,59,37
362,162,168,131,37,42,61,37
343,190,167,146,44,36,45,29
343,183,168,141,47,38,45,35
324,170,196,138,33,49,56,34
313,196,187,149,40,43,38,34
311,177,181,145,52,45,57,32
316,216,189,132,29,33,49,36
319,184,187,156,30,45,48,31
307,167,171,153,51,38,68,45
353,167,172,139,40,35,66,28
320,170,190,154,42,40,50,34
334,178,195,130,44,27,43,49
319,183,193,153,30,36,49,37
320,181,171,138,45,34,62,49
314,191,167,138,45,43,67,35
340,178,169,130,42,39,50,52
332,184,192,143,32,31,48,38
341,151,185,142,57,39,58,27
298,167,192,150,51,37,65,40
298,172,190,157,41,53,56,33
327,193,169,138,51,39,52,31
324,166,189,146,46,39,50,40
322,167,198,141,45,32,57,38
338,159,185,141,47,38,57,35
323,192,178,138,42,34,54,39
329,183,182,132,42,35,60,37
321,174,187,152,36,43,51,36
299,183,193,157,41,36,54,37
322,185,169,151,54,37,57,25
303,175,192,155,24,40,66,45
346,159,166,151,48,33,50,47
344,190,165,133,40,39,53,36
326,168,194,140,35,33,51,53
315,181,192,132,36,36,70,38
330,140,213,144,39,39,55,40
339,182,176,146,33,32,54,38
342,170,172,144,47,27,52,46
304,200,163,160,43,28,58,44
332,181,187,134,46,37,50,33
332,184,168,128,54,36,50,48
321,186,183,147,46,32,53,32
317,182,172,144,42,48,57,38
316,184,180,166,30,42,50,32
338,177,182,123,36,42,54,48
308,183,175,150,41,37,63,43
332,181,177,118,47,38,61,46
333,181,177,151,43,27,51,37
330,189,182,145,39,41,46,28
312,186,181,136,53,39,65,28
329,194,169,138,39,41,49,41
333,148,177,145,57,40,65,35
368,163,168,144,38,33,52,34
333,181,167,154,40,28,63,34
334,167,167,150,51,36,50,45
325,189,159,130,47,41,69,40
321,176,191,144,44,44,52,28
340,175,169,134,50,42,48,42
319,177,185,142,41,41,56,39
314,182,196,151,34,41,44,38
337,192,177,127,41,45,55,26
329,166,182,155,37,38,53,40
317,180,186,144,37,35,59,42
338,181,182,130,53,26,52,38
332,182,178,133,54,35,58,28
329,176,179,143,39,36,65,33
333,179,169,159,41,39,42,38
341,166,171,138,34,45,60,45
324,167,187,153,44,48,44,33
350,157,173,143,45,33,65,34
336,178,182,145,44,25,54,36
333,165,195,149,39,30,59,30
359,179,160,129,38,37,56,42
319,182,174,140,43,41,54,47
313,186,195,154,40,29,55,28
318,166,195,141,49,40,51,40
335,154,188,154,52,29,54,34
322,195,175,142,31,37,51,47
343,178,185,130,38,43,44,39
332,171,175,156,37,29,58,42
314,184,175,138,46,37,70,36
335,183,166,136,34,52,60,34
302,173,189,149,38,30,72,47
345,165,169,143,34,42,55,47
325,195,156,136,50,38,57,43
346,148,188,142,45,33,64,34
334,204,163,135,47,38,54,25
311,183,195,138,45,35,57,36
334,178,180,134,42,33,59,40
327,154,171,155,55,35,51,52
347,176,173,132,50,46,45,31
329,172,174,160,30,37,60,38
313,186,172,135,39,42,72,41
312,181,192,139,43,35,58,40
309,174,196,143,37,33,75,33
349,161,180,141,44,24,62,39
349,200,151,135,40,36,54,35
305,186,177,145,39,40,67,41
306,174,203,149,48,31,58,31
291,180,205,151,36,46,63,28
325,170,176,144,46,35,60,44
333,191,169,139,41,37,56,34
344,179,165,136,48,29,57,42
330,173,166,157,41,42,56,35
328,181,191,129,45,27,55,44
308,204,169,145,40,43,55,36
295,178,176,160,46,41,72,32
316,179,185,155,31,34,63,37
352,192,163,146,32,30,45,40
332,182,158,158,41,37,51,41
323,182,182,128,42,37,63,43
345,159,167,152,42,33,60,42
331,169,171,141,46,46,55,41
340,169,172,148,40,40,55,36
372,182,148,146,36,37,46,33
321,182,186,149,42,32,53,35
351,175,180,137,46,34,44,33
317,169,177,152,50,34,60,41
311,173,197,148,46,31,59,35
304,171,206,125,48,50,58,38
319,205,175,131,38,34,58,40
313,184,184,135,40,47,54,43
330,192,177,143,44,28,54,32
346,185,184,128,30,37,56,34
333,165,191,131,45,32,57,46
336,168,172,142,48,49,53,32
318,184,181,135,37,43,58,44
342,182,157,156,38,34,47,44
295,193,198,156,30,45,55,28
342,171,192,141,30,37,50,37
359,163,152,133,50,48,57,38
307,194,181,126,38,51,66,37
345,180,176,120,45,49,49,36
337,176,187,142,44,30,52,32
319,198,177,140,26,34,60,46
314,168,177,144,53,43,65,36
327,182,177,150,34,42,53,35
349,181,167,137,33,47,46,40
329,191,150,162,44,36,57,31
334,186,163,155,37,32,53,40
350,172,153,141,50,45,50,39
325,175,189,138,35,36,61,41
321,171,187,148,51,31,48,43
302,200,182,135,48,35,55,43
341,182,159,138,38,48,65,29
316,204,189,116,38,36,64,37
304,181,189,149,48,33,57,39
352,169,163,143,40,39,55,39
312,187,171,152,38,35,57,48
326,182,166,143,34,44,67,38
330,164,181,132,38,45,68,42
340,175,177,137,34,42,54,41
329,203,184,119,42,47,52,24
325,177,197,130,35,50,52,34
313,178,183,140,41,43,61,41
311,168,176,158,39,33,69,46
317,178,170,154,38,51,57,35
327,175,175,141,44,39,69,30
344,180,169,126,48,38,58,37
300,180,199,166,41,31,59,24
294,174,185,153,42,37,63,52
342,183,153,131,48,42,60,41
348,160,167,136,45,33,76,35
331,185,196,135,36,35,38,44
312,199,171,134,43,33,61,47
316,179,175,138,44,43,66,39
314,161,181,155,40,51,61,37
305,196,180,139,45,44,51,40
336,180,159,139,41,48,54,43
314,204,165,124,44,35,71,43
350,169,166,133,49,34,68,31
312,180,183,145,36,32,64,48
356,162,187,135,39,38,42,41
342,170,178,139,40,33,68,30
346,168,177,133,40,30,59,47
309,166,201,152,33,39,59,41
333,185,165,149,34,36,60,38
346,146,176,157,38,40,59,38
324,161,192,136,32,50,52,53
313,164,199,154,46,31,54,39
295,220,182,134,39,35,64,31
319,184,176,142,33,34,77,35
342,172,180,130,48,43,50,35
302,164,185,168,51,31,55,44
329,163,193,130,33,55,57,40
327,174,174,144,39,35,63,44
340,162,185,136,58,31,53,35
333,172,172,140,41,45,56,41
333,187,184,126,34,50,48,38
325,198,161,147,50,33,49,37
326,161,193,157,40,38,52,33
330,183,191,137,41,39,44,35
334,164,185,143,49,37,50,38
323,191,163,138,54,29,54,48
337,171,204,134,34,35,51,34
306,187,199,147,36,32,55,38
334,176,183,147,36,29,61,34
300,182,204,144,36,39,61,34
305,185,187,148,30,35,69,41
330,169,190,135,36,38,57,45
305,187,164,146,49,45,60,44
337,163,160,165,37,46,57,35
329,172,155,162,43,39,62,38
325,179,183,148,38,37,54,36
332,167,181,144,39,43,57,37
330,178,183,141,41,36,59,32
350,173,162,147,38,39,55,36
323,152,199,148,49,35,60,34
326,178,184,137,49,31,52,43
325,176,182,155,35,38,57,32
331,176,168,138,40,41,65,41
336,171,188,129,50,35,56,35
334,199,168,128,35,37,61,38
331,195,159,150,36,39,53,37
307,170,183,146,40,43,70,41
324,162,208,129,45,38,58,36
341,164,184,130,41,33,59,48
348,157,191,142,37,41,56,28
334,189,179,137,33,41,52,35
346,165,182,137,45,32,57,36
336,176,146,153,49,37,65,38
324,176,184,140,30,31,76,39
324,172,176,160,46,42,44,36
350,162,183,148,37,38,51,31
341,193,161,129,44,37,65,30
345,167,169,139,43,40,56,41
321,177,172,159,41,41,57,32
336,177,161,140,40,45,64,37
341,186,178,120,40,42,57,36
314,200,172,130,45,26,76,37
335,182,191,130,43,34,56,29
332,160,172,147,47,43,52,47
332,173,176,139,43,40,61,36
323,188,174,121,49,45,54,46
333,177,166,139,35,42,70,38
321,202,178,137,34,41,57,30
338,173,178,148,49,41,50,23
329,179,177,136,49,35,57,38
351,169,198,126,32,48,45,31
315,176,185,146,47,46,46,39
344,187,161,148,42,37,56,25
334,184,167,141,52,39,57,26
335,185,166,153,40,34,57,30
325,180,186,134,40,43,56,36
320,191,185,124,48,39,52,41
318,188,172,148,30,43,53,48
336,177,197,137,27,45,44,37
349,193,184,123,36,37,44,34
334,195,184,134,32,23,62,36
307,197,204,137,44,35,40,36
357,178,170,127,34,34,58,42
325,167,179,144,44,42,63,36
328,172,162,145,37,52,65,39
311,170,178,167,37,44,54,39
337,158,181,167,39,36,46,36
316,204,183,129,43,38,52,35
346,182,169,138,49,36,46,34
348,169,165,141,29,48,60,40
331,164,193,145,34,31,57,45
325,203,165,128,39,36,66,38
335,194,178,130,29,37,58,39
354,175,173,137,38,42,49,32
315,189,167,138,52,41,61,37
337,180,169,136,41,45,58,34
316,169,190,138,51,40,61,35
327,167,175,158,38,44,60,31
309,187,179,141,37,42,55,50
329,181,170,132,48,39,63,38
329,178,190,146,46,33,41,37
330,187,167,150,32,42,56,36
301,213,185,145,38,34,51,33
318,183,172,150,38,39,54,46
347,175,177,143,32,44,53,29
315,168,184,149,34,38,73,39
327,199,164,143,40,29,60,38
323,180,191,128,34,38,60,46
345,173,184,133,39,42,56,28
330,215,173,133,30,30,56,33
339,175,173,136,36,49,55,37
319,175,202,142,34,43,56,29
322,181,184,138,55,31,57,32
320,187,175,142,39,30,63,44
334,178,184,128,42,41,62,31
332,169,176,140,40,39,66,38
331,178,177,150,39,38,52,35
327,171,158,157,50,43,67,27
348,178,171,141,34,40,50,38
309,160,201,137,50,44,58,41
319,175,166,167,40,33,61,39
326,188,190,143,41,30,46,36
337,177,178,139,38,31,69,31
326,187,182,144,43,34,46,38
334,170,170,132,47,32,71,44
363,165,161,140,32,47,54,38
